"id";"current_age";"retirement_age";"birth_year";"birth_month";"gender";"address";"latitude";"longitude";"per_capita_income";"yearly_income";"total_debt";"credit_score";"num_credit_cards"
25;22;64;1997;3;"Female";"814 Washington Street";33.36;-111.93;"24122.00";"49190.00";"122458.00";630;1
26;49;68;1970;12;"Female";"9639 Third Boulevard";40.68;-80.27;"20142.00";"41071.00";"124139.00";685;1
27;78;63;1941;8;"Female";"3553 Mountain View Drive";32.28;-90.0;"22304.00";"23821.00";"22427.00";613;8
28;39;65;1980;4;"Female";"871 12th Lane";38.63;-77.26;"26618.00";"54273.00";"110237.00";789;4
29;68;60;1951;8;"Female";"318 Spruce Boulevard";42.47;-70.96;"18682.00";"27358.00";"13557.00";665;2
30;23;59;1996;8;"Female";"2478 El Camino Avenue";31.96;-94.05;"19119.00";"38983.00";"96098.00";577;1
31;51;65;1968;6;"Female";"413 East Boulevard";41.62;-87.72;"22348.00";"45570.00";"0.00";712;3
32;82;67;1937;9;"Female";"7336 First Avenue";40.31;-79.54;"23074.00";"52315.00";"3174.00";695;4
33;77;71;1942;6;"Female";"6335 Rose Lane";39.21;-119.71;"18239.00";"38692.00";"8902.00";596;5
34;41;55;1978;8;"Male";"7467 Spruce Drive";38.48;-121.34;"25431.00";"51854.00";"72162.00";737;2
35;20;64;1999;6;"Male";"8460 Oak Lane";43.66;-70.25;"23785.00";"48495.00";"97630.00";773;3
36;31;63;1988;6;"Male";"8486 Catherine Street";37.23;-80.42;"24640.00";"50242.00";"84457.00";722;2
37;41;60;1978;7;"Female";"533 Sussex Drive";43.31;-76.57;"17013.00";"34690.00";"48954.00";683;4
38;45;64;1974;12;"Female";"582 Birch Boulevard";26.63;-81.85;"19621.00";"40006.00";"72794.00";621;1
39;54;67;1965;5;"Female";"984 Eighth Avenue";41.29;-72.36;"30281.00";"61740.00";"126015.00";583;2
40;71;74;1948;6;"Male";"2786 Forest Lane";39.92;-83.79;"14342.00";"29243.00";"30686.00";726;4
41;38;70;1981;3;"Male";"2750 Rose Boulevard";43.08;-91.56;"13332.00";"27183.00";"58323.00";637;1
42;78;66;1941;11;"Female";"3863 Pine Street";30.84;-83.27;"12672.00";"8526.00";"3723.00";684;3
43;26;66;1993;8;"Female";"5594 12th Drive";33.99;-118.39;"29972.00";"61104.00";"79486.00";721;4
44;85;67;1934;12;"Male";"8651 Seventh Street";43.48;-124.16;"16738.00";"38194.00";"1674.00";680;3
45;61;67;1959;1;"Female";"9473 Mill Street";40.86;-74.15;"31281.00";"63781.00";"111808.00";654;1
46;62;66;1957;6;"Male";"20 Littlewood Boulevard";40.66;-73.84;"26481.00";"53996.00";"98211.00";632;4
47;47;62;1972;9;"Male";"523 Federal Drive";40.84;-73.87;"12475.00";"25434.00";"45540.00";712;4
48;69;63;1950;4;"Male";"5233 Valley Stream Street";35.11;-106.62;"20993.00";"16542.00";"36831.00";733;3
49;38;74;1981;6;"Male";"190 Burns Avenue";40.81;-81.93;"18962.00";"38663.00";"59053.00";686;3
50;68;72;1951;7;"Female";"267 Birch Boulevard";45.82;-88.06;"19243.00";"39238.00";"85457.00";702;4
51;29;67;1991;2;"Female";"3260 Hillside Lane";36.29;-86.6;"25166.00";"51303.00";"106248.00";688;3
52;56;66;1963;4;"Female";"13 Rose Boulevard";41.56;-73.59;"31288.00";"63796.00";"82173.00";730;3
53;49;68;1970;12;"Female";"7406 Mill Avenue";38.62;-120.62;"19471.00";"39700.00";"59062.00";701;3
54;21;68;1998;4;"Female";"7914 Essex Boulevard";41.66;-83.58;"21660.00";"44160.00";"134173.00";696;3
55;61;68;1958;3;"Female";"3374 Littlewood Street";37.92;-122.34;"21869.00";"44583.00";"85531.00";717;5
56;22;73;1998;2;"Female";"5762 River Lane";40.76;-111.84;"10539.00";"21490.00";"32587.00";682;2
57;28;66;1992;2;"Female";"9706 Mountain View Street";32.33;-111.05;"21494.00";"43826.00";"84935.00";823;1
58;38;66;1981;4;"Female";"6561 George Avenue";38.81;-90.96;"25756.00";"52512.00";"95640.00";706;2
59;85;69;1934;8;"Female";"726 Oak Avenue";32.78;-108.26;"16654.00";"25066.00";"424.00";695;7
60;47;64;1972;8;"Female";"467 Birch Avenue";43.23;-77.06;"16703.00";"34057.00";"59247.00";655;4
61;44;65;1976;2;"Female";"4121 Mountain View Boulevard";41.05;-73.74;"45812.00";"93406.00";"151935.00";801;3
62;78;68;1941;11;"Female";"9911 Rose Street";41.13;-124.04;"15296.00";"22290.00";"9235.00";716;6
63;40;64;1979;12;"Male";"390 Tenth Street";40.72;-74.17;"17370.00";"35418.00";"51741.00";660;6
64;39;68;1980;3;"Female";"95 12th Avenue";34.0;-118.03;"25242.00";"51465.00";"0.00";702;2
65;51;72;1968;10;"Female";"4514 Elm Street";33.99;-81.08;"16928.00";"34517.00";"74143.00";645;2
66;20;71;1999;6;"Female";"69 Norfolk Avenue";41.23;-80.81;"15361.00";"31314.00";"40331.00";721;4
67;23;65;1996;4;"Female";"1 Sixth Boulevard";47.22;-122.54;"23366.00";"47639.00";"0.00";732;2
68;42;70;1977;10;"Male";"58 Birch Lane";41.55;-90.6;"20599.00";"41997.00";"0.00";704;3
69;54;67;1965;10;"Female";"3067 First Street";40.52;-81.47;"18794.00";"38318.00";"93284.00";748;6
70;20;64;2000;2;"Male";"8997 Summit Avenue";40.26;-76.71;"31040.00";"63292.00";"145756.00";635;1
71;39;69;1980;5;"Male";"164 Ocean View Street";43.44;-93.21;"16087.00";"32801.00";"44496.00";701;2
72;37;66;1982;12;"Male";"550 Forest Street";46.51;-112.12;"20305.00";"41401.00";"71180.00";580;1
73;48;73;1971;12;"Male";"2193 Sixth Avenue";41.71;-73.96;"26227.00";"53478.00";"73030.00";674;3
74;54;74;1965;5;"Female";"1444 Plum Boulevard";38.86;-104.76;"20579.00";"41957.00";"151027.00";783;3
75;80;66;1939;12;"Female";"6328 Forest Street";29.76;-95.38;"18528.00";"22326.00";"1620.00";564;4
76;22;63;1997;8;"Female";"3269 River Street";40.23;-83.37;"25313.00";"51613.00";"62635.00";649;2
77;99;67;1920;10;"Female";"596 Ninth Street";40.24;-76.92;"25336.00";"51110.00";"3781.00";709;8
78;37;63;1983;1;"Male";"5320 Mountain View Street";33.95;-118.29;"12362.00";"25205.00";"65179.00";688;1
79;70;66;1949;10;"Female";"990 North Lane";30.36;-87.17;"20045.00";"29164.00";"19851.00";625;4
80;82;67;1937;8;"Female";"362 Martin Luther King Street";41.01;-84.47;"15090.00";"21815.00";"1597.00";498;5
81;66;68;1953;3;"Female";"804 Sixth Boulevard";29.57;-97.96;"17440.00";"35560.00";"60397.00";723;5
82;22;68;1997;9;"Female";"6054 Main Avenue";41.83;-87.68;"0.00";"2026.00";"1417.00";779;1
83;31;69;1988;5;"Male";"766 Catherine Boulevard";38.29;-77.48;"29157.00";"59455.00";"96224.00";557;1
84;47;68;1972;9;"Male";"23068 Park Street";36.49;-81.5;"12630.00";"25748.00";"41455.00";738;3
85;29;60;1990;4;"Male";"8016 Norfolk Drive";34.92;-76.89;"16006.00";"32636.00";"42290.00";782;1
86;24;65;1995;6;"Male";"7675 Main Boulevard";33.0;-81.3;"11384.00";"23212.00";"25138.00";799;3
87;58;71;1961;5;"Male";"663 Second Boulevard";26.13;-97.63;"11844.00";"24155.00";"2870.00";802;3
88;22;68;1997;8;"Male";"6614 Ninth Boulevard";35.46;-86.08;"16349.00";"33337.00";"71679.00";712;1
89;35;67;1984;6;"Male";"7794 Ocean Street";32.27;-106.61;"14822.00";"30217.00";"23394.00";705;4
90;63;62;1956;8;"Male";"9 Mill Drive";28.37;-80.75;"19018.00";"12796.00";"22192.00";644;3
91;38;72;1981;10;"Female";"89 Washington Boulevard";39.73;-75.53;"35630.00";"72647.00";"90579.00";739;1
92;76;68;1943;10;"Female";"2760 Forest Drive";43.54;-96.73;"21089.00";"31145.00";"5132.00";689;4
93;33;69;1986;8;"Female";"850 Birch Avenue";35.75;-87.79;"14073.00";"28696.00";"52910.00";686;4
94;59;72;1961;1;"Female";"704 Summit Drive";35.71;-81.15;"18029.00";"36760.00";"95755.00";593;2
95;25;67;1994;8;"Female";"157 Eighth Street";47.62;-122.16;"43432.00";"88554.00";"142154.00";701;2
96;69;66;1950;12;"Female";"20 Oak Street";33.89;-117.78;"38948.00";"99825.00";"4344.00";685;4
97;69;60;1950;3;"Female";"93 Mill Drive";35.97;-83.94;"19596.00";"32952.00";"5077.00";765;1
98;80;67;1939;4;"Female";"7872 Oak Drive";40.14;-87.61;"15755.00";"16646.00";"1639.00";590;2
99;63;65;1956;11;"Female";"891 El Camino Lane";26.23;-80.13;"26530.00";"54095.00";"76109.00";753;3
100;56;66;1963;9;"Male";"3982 Ocean View Street";35.98;-79.99;"24005.00";"48944.00";"79960.00";813;7
101;18;62;2002;1;"Female";"91 Essex Lane";32.88;-105.95;"15095.00";"30778.00";"73680.00";681;1
102;32;67;1987;7;"Female";"2785 Elm Drive";33.76;-117.97;"16289.00";"33212.00";"59638.00";649;1
103;41;71;1978;3;"Female";"8 Tenth Drive";35.82;-78.65;"17056.00";"34774.00";"78060.00";850;5
104;33;65;1986;11;"Female";"2043 Mill Street";32.69;-97.01;"18334.00";"37384.00";"49182.00";713;3
105;54;68;1965;8;"Male";"420 Oak Drive";41.47;-75.57;"18432.00";"37579.00";"0.00";742;5
106;52;60;1967;10;"Male";"146 Plum Avenue";39.77;-86.14;"14691.00";"29957.00";"60321.00";624;5
107;50;70;1970;1;"Male";"1504 Lincoln Drive";34.29;-94.33;"13123.00";"26758.00";"41064.00";734;5
108;50;68;1969;11;"Female";"373 Sussex Drive";31.44;-93.45;"18709.00";"38142.00";"0.00";768;4
109;29;66;1990;8;"Female";"933 Sussex Drive";45.6;-108.68;"19625.00";"40005.00";"37694.00";737;2
110;52;72;1967;10;"Female";"31204 El Camino Lane";30.26;-97.74;"25594.00";"52186.00";"42852.00";737;4
111;25;65;1994;10;"Female";"3124 Madison Drive";33.79;-82.47;"14717.00";"30004.00";"67526.00";738;3
112;54;66;1965;12;"Female";"85 Lafayette Boulevard";43.98;-75.6;"17220.00";"35114.00";"24637.00";686;5
113;74;71;1946;1;"Female";"4 Plum Boulevard";32.86;-97.21;"26016.00";"39003.00";"10793.00";788;5
114;47;65;1972;12;"Female";"112 Elm Avenue";34.18;-118.39;"16892.00";"34441.00";"907.00";725;4
115;61;69;1958;7;"Male";"386 11th Lane";40.93;-73.72;"49546.00";"101018.00";"78115.00";748;6
116;31;68;1988;8;"Male";"168 Sussex Boulevard";42.95;-77.59;"32973.00";"67230.00";"45269.00";685;2
117;20;71;2000;1;"Male";"58 Bayview Street";36.24;-90.04;"14824.00";"30229.00";"43239.00";595;3
118;56;68;1963;12;"Female";"407 Seventh Lane";33.52;-86.79;"15471.00";"31533.00";"42315.00";753;3
119;44;67;1975;9;"Female";"60 Little Creek Avenue";36.16;-115.28;"27761.00";"56605.00";"87970.00";624;3
120;50;71;1969;9;"Female";"64 Mill Street";42.88;-88.0;"29924.00";"61008.00";"0.00";781;4
121;34;66;1985;11;"Female";"71858 Mountain View Street";44.21;-88.43;"22277.00";"45419.00";"124370.00";721;3
122;65;66;1954;3;"Female";"6303 South Boulevard";29.69;-91.3;"19237.00";"39221.00";"45409.00";786;4
123;43;66;1976;9;"Female";"5180 Burns Boulevard";33.24;-84.27;"17811.00";"36315.00";"0.00";824;3
124;31;70;1988;8;"Female";"9833 Forest Street";34.6;-98.42;"16829.00";"34311.00";"6971.00";680;4
125;64;70;1956;2;"Female";"9505 Martin Luther King Avenue";37.63;-121.01;"13015.00";"26535.00";"93592.00";724;5
126;63;65;1956;10;"Male";"5159 Wessex Avenue";34.72;-92.35;"13047.00";"26600.00";"0.00";799;4
127;48;68;1971;7;"Male";"671 Little Creek Street";31.7;-86.26;"15474.00";"31553.00";"63938.00";729;3
128;40;66;1979;4;"Female";"6914 Wessex Avenue";29.76;-95.38;"15389.00";"31377.00";"59615.00";722;2
129;56;63;1963;6;"Female";"6295 Summit Drive";34.1;-118.05;"22008.00";"44875.00";"125909.00";510;1
130;63;69;1956;9;"Female";"6429 Fifth Avenue";35.19;-80.83;"39752.00";"81048.00";"156195.00";781;4
131;23;75;1996;10;"Female";"5883 Sixth Street";34.22;-80.68;"18494.00";"37717.00";"60367.00";688;3
132;77;72;1942;5;"Female";"8407 Littlewood Street";27.48;-82.57;"13972.00";"31555.00";"12777.00";696;4
133;31;65;1988;10;"Female";"5295 Pine Street";33.95;-84.54;"30747.00";"62692.00";"50290.00";698;2
134;43;67;1976;12;"Male";"924 First Drive";31.84;-106.43;"24608.00";"50174.00";"145300.00";643;4
135;64;69;1955;6;"Female";"327 Lafayette Boulevard";39.72;-82.59;"18680.00";"38088.00";"51679.00";691;2
136;18;66;2001;4;"Female";"724 Essex Drive";38.22;-85.74;"31636.00";"64504.00";"69041.00";695;3
137;33;65;1986;7;"Female";"3177 Oak Avenue";36.33;-82.36;"20142.00";"41069.00";"64073.00";644;3
138;43;68;1977;2;"Female";"754 South Avenue";40.77;-79.04;"16071.00";"32770.00";"103262.00";641;4
139;73;65;1947;1;"Female";"835 Main Street";40.64;-73.94;"19652.00";"31317.00";"4591.00";687;4
140;37;72;1983;2;"Female";"108 Washington Street";36.28;-86.83;"20657.00";"42120.00";"72801.00";739;4
141;70;66;1949;7;"Male";"744 Lafayette Street";31.02;-96.48;"17356.00";"23082.00";"23406.00";638;5
142;59;68;1960;11;"Female";"723 Fourth Drive";41.9;-72.08;"25399.00";"51788.00";"77642.00";675;2
143;22;68;1997;6;"Female";"5138 Park Drive";41.55;-87.66;"25689.00";"52379.00";"107734.00";771;3
144;44;67;1975;3;"Female";"5380 12th Boulevard";34.5;-93.05;"15857.00";"32330.00";"97190.00";835;4
145;58;65;1962;1;"Female";"645 Hillside Lane";36.18;-82.07;"12427.00";"25334.00";"182.00";696;3
146;47;67;1972;7;"Female";"45 Ocean Lane";41.85;-88.3;"33701.00";"68710.00";"201796.00";717;3
147;30;66;1989;4;"Male";"4096 Sussex Avenue";32.35;-86.28;"27653.00";"56383.00";"130152.00";800;4
148;62;66;1957;8;"Male";"7378 Park Lane";43.6;-71.74;"18972.00";"38681.00";"113190.00";663;5
149;24;54;1995;3;"Female";"5 Hill Avenue";33.02;-117.12;"44747.00";"91237.00";"231619.00";594;1
150;51;73;1968;8;"Female";"2897 West Street";38.7;-77.24;"35062.00";"71490.00";"0.00";782;3
151;18;65;2002;2;"Female";"303 Lexington Drive";26.23;-80.13;"27916.00";"56921.00";"115330.00";823;1
152;37;68;1982;3;"Female";"49 Tenth Street";33.72;-84.32;"24196.00";"49335.00";"51520.00";773;3
153;76;71;1943;8;"Female";"172 Birch Street";35.29;-111.32;"21950.00";"27484.00";"16803.00";660;4
154;48;61;1971;6;"Male";"8993 Madison Avenue";34.93;-78.72;"18376.00";"37468.00";"73448.00";666;3
155;86;69;1933;11;"Female";"235 Fourth Street";31.31;-89.3;"14383.00";"9678.00";"812.00";688;6
156;36;67;1983;7;"Female";"2062 Fourth Street";34.08;-117.46;"13739.00";"28007.00";"0.00";691;4
157;47;65;1972;10;"Male";"6232 Second Avenue";33.83;-117.2;"16109.00";"32847.00";"3230.00";785;3
158;31;72;1989;2;"Female";"5065 Catherine Drive";45.2;-122.06;"20343.00";"41475.00";"0.00";747;2
159;53;69;1966;7;"Male";"274 Summit Street";32.79;-96.76;"13799.00";"28134.00";"20231.00";707;3
160;44;68;1975;10;"Male";"1915 Catherine Boulevard";38.91;-75.43;"18622.00";"37965.00";"69614.00";796;3
161;31;70;1988;11;"Male";"237 Hill Lane";31.56;-97.18;"11512.00";"23469.00";"22976.00";731;3
162;37;69;1983;1;"Male";"9550 Jefferson Street";42.56;-83.38;"32423.00";"66111.00";"98102.00";771;5
163;37;73;1983;2;"Male";"169 Oak Street";41.37;-79.7;"16237.00";"33108.00";"44044.00";829;2
164;76;67;1943;8;"Male";"772 Lexington Street";40.84;-84.33;"18287.00";"37829.00";"20185.00";658;4
165;34;65;1986;2;"Male";"95266 Bayview Drive";37.83;-122.22;"52813.00";"107683.00";"225017.00";694;3
166;83;64;1936;4;"Female";"9915 Burns Lane";39.15;-75.51;"17634.00";"25567.00";"1001.00";665;3
167;26;72;1994;1;"Female";"189 Washington Street";35.88;-80.01;"18657.00";"38036.00";"0.00";743;3
168;51;56;1968;7;"Female";"2920 11th Boulevard";30.27;-87.7;"15553.00";"31713.00";"42895.00";646;1
169;85;71;1934;5;"Male";"2 11th Avenue";33.94;-80.39;"14224.00";"30451.00";"93.00";686;4
170;34;71;1985;9;"Male";"79948 Sixth Avenue";35.01;-97.37;"18137.00";"36983.00";"58895.00";768;4
171;43;70;1976;5;"Female";"5194 Grant Street";34.83;-82.37;"24314.00";"49577.00";"142314.00";694;3
172;47;66;1972;4;"Female";"9020 North Street";39.85;-88.93;"22153.00";"45164.00";"0.00";730;3
173;63;62;1956;5;"Female";"440 North Street";32.45;-99.73;"16665.00";"30399.00";"19404.00";668;4
174;23;69;1996;4;"Female";"4822 Jefferson Avenue";38.35;-81.63;"21899.00";"44644.00";"83108.00";716;3
175;33;63;1986;6;"Female";"8740 Lafayette Drive";40.68;-73.37;"26528.00";"54091.00";"165960.00";675;1
176;45;71;1974;12;"Female";"627 Ninth Drive";33.74;-84.31;"25586.00";"52172.00";"66085.00";667;4
177;54;66;1965;12;"Female";"294 Bayview Lane";35.1;-90.0;"28570.00";"58248.00";"107130.00";728;4
178;47;66;1972;7;"Female";"27 Third Avenue";39.01;-94.28;"24057.00";"49045.00";"0.00";727;3
179;33;67;1986;5;"Female";"906 Little Creek Drive";34.98;-80.54;"19605.00";"39974.00";"64403.00";652;2
180;33;67;1986;7;"Female";"0 Elm Street";33.53;-112.18;"13024.00";"26556.00";"43042.00";840;2
181;26;65;1994;1;"Female";"118 12th Avenue";33.86;-84.68;"25025.00";"51024.00";"181184.00";602;1
182;49;70;1971;2;"Female";"916 Birch Drive";26.14;-81.79;"25006.00";"50984.00";"65126.00";616;2
183;24;65;1995;12;"Female";"84 Second Lane";41.83;-87.68;"18937.00";"38609.00";"39867.00";798;3
184;50;69;1969;4;"Female";"8886 Little Creek Street";42.83;-89.07;"21348.00";"43529.00";"126175.00";797;6
185;47;67;1973;1;"Female";"276 Fifth Boulevard";40.66;-74.19;"15175.00";"30942.00";"71066.00";779;3
186;61;69;1958;11;"Female";"49 Bayview Lane";36.1;-115.02;"18897.00";"38536.00";"72299.00";705;1
187;35;72;1984;9;"Female";"707 Elm Boulevard";37.77;-79.99;"17537.00";"35760.00";"62768.00";830;1
188;24;57;1995;6;"Male";"9226 Tenth Boulevard";38.85;-77.29;"42884.00";"87436.00";"135294.00";845;2
189;42;70;1978;2;"Male";"9566 Tenth Street";30.44;-97.62;"25584.00";"52165.00";"97248.00";730;4
190;40;67;1979;4;"Male";"5468 Little Creek Drive";42.03;-87.73;"21801.00";"44452.00";"12409.00";711;5
191;28;65;1991;10;"Male";"654 Elm Drive";33.71;-84.53;"19550.00";"39860.00";"112825.00";728;1
192;27;66;1992;6;"Male";"888 Fifth Lane";38.65;-121.25;"27548.00";"56164.00";"15224.00";761;2
193;23;65;1996;7;"Female";"4343 Mountain View Boulevard";44.48;-103.84;"18583.00";"37891.00";"66163.00";749;1
194;52;68;1968;2;"Male";"531 Pine Avenue";40.34;-85.35;"15048.00";"30681.00";"81680.00";746;4
195;18;70;2002;2;"Female";"5263 Little Creek Drive";28.75;-81.33;"31847.00";"64936.00";"107755.00";688;2
196;44;64;1975;5;"Female";"518 Norfolk Avenue";33.29;-83.96;"17545.00";"35775.00";"67263.00";773;1
197;32;60;1987;5;"Male";"1867 Bayview Street";37.86;-84.65;"15757.00";"32128.00";"58373.00";724;5
198;49;73;1970;3;"Female";"732 Lincoln Drive";27.95;-82.48;"15447.00";"31497.00";"30805.00";702;3
199;67;67;1952;4;"Female";"7927 Plum Lane";33.1;-96.66;"32580.00";"78329.00";"40161.00";720;3
200;57;65;1962;11;"Female";"4940 Ocean View Drive";38.21;-82.56;"17918.00";"36528.00";"109785.00";701;3
201;61;65;1958;5;"Male";"206 Pine Lane";41.52;-88.12;"17567.00";"35823.00";"96691.00";732;3
202;20;66;1999;7;"Female";"75 Third Avenue";39.33;-84.4;"31920.00";"65082.00";"88347.00";850;1
203;58;67;1961;3;"Female";"407 Park Lane";32.9;-80.93;"14864.00";"30305.00";"23392.00";776;3
204;31;67;1988;9;"Female";"775 Lexington Boulevard";30.64;-97.68;"20968.00";"42754.00";"60172.00";656;1
205;38;68;1982;1;"Male";"839 Essex Lane";47.65;-111.38;"19560.00";"39882.00";"77817.00";809;4
206;28;59;1992;2;"Female";"4633 Sixth Avenue";42.89;-85.72;"18431.00";"37583.00";"51633.00";782;2
207;73;65;1946;10;"Female";"518 Main Street";36.58;-79.4;"16745.00";"28553.00";"19507.00";745;5
208;37;66;1982;7;"Female";"6976 Ocean View Avenue";47.79;-122.2;"33226.00";"67747.00";"76650.00";804;3
209;61;67;1959;1;"Female";"2111 Burns Street";31.65;-106.15;"14322.00";"29206.00";"25966.00";716;6
210;46;63;1973;8;"Male";"7677 Little Creek Drive";29.45;-98.5;"12677.00";"25850.00";"56285.00";630;1
211;43;71;1976;5;"Male";"441 River Street";34.61;-114.3;"14214.00";"28983.00";"36482.00";755;3
212;52;67;1968;2;"Male";"142 First Drive";32.79;-96.76;"13799.00";"28137.00";"88482.00";797;6
213;37;68;1982;5;"Female";"345 George Street";32.91;-96.62;"27057.00";"55172.00";"96779.00";629;3
214;30;62;1989;8;"Male";"437 Madison Street";41.83;-87.68;"23446.00";"47803.00";"81929.00";652;1
215;18;65;2002;2;"Male";"6638 Summit Lane";35.57;-82.54;"22223.00";"45313.00";"21488.00";716;2
216;60;66;1959;5;"Female";"378 Fourth Boulevard";39.92;-85.36;"16273.00";"33178.00";"85620.00";687;3
217;42;65;1977;10;"Male";"272 Burns Boulevard";41.77;-87.82;"15221.00";"31031.00";"21853.00";744;7
218;59;68;1960;3;"Female";"5238 Park Street";40.76;-74.03;"16770.00";"34190.00";"39242.00";810;7
219;47;66;1973;2;"Male";"4541 Hill Boulevard";44.01;-84.8;"11036.00";"22505.00";"27928.00";798;3
220;33;67;1986;11;"Female";"3550 Sixth Boulevard";38.1;-122.63;"30335.00";"61846.00";"12525.00";722;4
221;63;65;1956;12;"Female";"560 Eighth Boulevard";37.7;-122.12;"21669.00";"44183.00";"89852.00";850;4
222;48;70;1971;7;"Female";"9243 Oak Street";33.76;-84.33;"45818.00";"93417.00";"115916.00";714;3
223;37;67;1982;10;"Female";"3748 Mountain View Drive";38.78;-121.37;"28760.00";"58637.00";"87340.00";803;6
224;20;67;1999;11;"Female";"5789 Ninth Drive";40.69;-73.85;"19682.00";"40130.00";"55801.00";798;1
225;32;68;1987;3;"Male";"69080 Spruce Street";29.76;-95.38;"20055.00";"40887.00";"50734.00";688;4
226;30;68;1989;8;"Male";"4262 Madison Drive";42.62;-70.86;"45596.00";"92960.00";"64167.00";724;3
227;48;66;1971;9;"Male";"496 Hill Lane";44.96;-93.26;"40364.00";"82295.00";"1555.00";736;4
228;54;66;1966;1;"Female";"2206 South Drive";28.55;-82.39;"15524.00";"31655.00";"46405.00";623;1
229;35;57;1984;6;"Female";"47428 First Boulevard";41.8;-91.49;"29059.00";"59248.00";"173887.00";725;5
230;39;65;1980;10;"Female";"675 Fifth Avenue";30.44;-91.12;"17412.00";"35501.00";"78801.00";693;4
231;55;67;1964;3;"Female";"1442 Mill Avenue";35.05;-78.87;"17789.00";"36270.00";"73779.00";769;5
232;57;66;1962;5;"Female";"186 First Drive";41.58;-73.8;"33919.00";"69159.00";"135111.00";786;3
233;37;64;1982;12;"Female";"896 Rose Street";44.96;-93.26;"23278.00";"47464.00";"83591.00";716;1
234;42;73;1977;11;"Female";"8027 Main Drive";32.76;-96.59;"18452.00";"37623.00";"923.00";726;6
235;32;67;1987;12;"Female";"7012 11th Lane";40.71;-73.99;"23874.00";"48676.00";"110589.00";721;4
236;36;65;1983;3;"Female";"4137 Bayview Drive";29.7;-95.46;"79100.00";"161276.00";"317964.00";540;1
237;42;72;1977;8;"Male";"331 Oak Lane";37.96;-121.76;"28733.00";"58584.00";"99235.00";563;2
238;22;62;1997;6;"Male";"9261 Little Creek Lane";41.41;-82.31;"20400.00";"41595.00";"54451.00";675;1
239;26;68;1993;3;"Male";"2519 Park Boulevard";44.88;-94.37;"20699.00";"42201.00";"138469.00";682;5
240;50;68;1970;2;"Male";"280 Lake Avenue";36.21;-83.29;"17104.00";"34868.00";"51984.00";745;3
241;58;67;1961;4;"Female";"6077 Sixth Avenue";34.93;-79.76;"15009.00";"30605.00";"16549.00";737;5
